Farm_ID,Crop_Type,Farm_Area(acres),Irrigation_Type,Soil_Type,Season,Water_Usage(cubic meters),Temperature(°C),Humidity(%),Yield(tons)
56,Wheat,26,Surface,Clay,Monsoon,4223,25.8,99,13.6
57,Barley,29,Drip,Clay,Monsoon,4042,34.8,75,8.9
58,Rice,26,Surface,Loamy,Summer,3667,19.0,72,14.6
59,Barley,26,Drip,Clay,Spring,3235,35.2,50,6.3
60,Rice,46,Sprinkler,Sandy,Winter,4884,33.2,52,6.0
61,Rice,10,Sprinkler,Sandy,Summer,2121,16.9,76,11.6
62,Barley,19,Sprinkler,Loamy,Monsoon,1130,13.9,44,14.4
63,Soybean,47,Sprinkler,Sandy,Summer,3852,36.0,54,13.1
64,Rice,41,Surface,Sandy,Monsoon,2194,38.9,65,5.8
65,Rice,37,Drip,Loamy,Monsoon,3983,10.9,80,7.8
66,Barley,12,Drip,Clay,Summer,4033,31.9,44,14.3
67,Rice,48,Surface,Clay,Spring,1182,37.3,97,7.5
68,Rice,48,Drip,Clay,Monsoon,4030,35.7,50,12.8
69,Barley,9,Sprinkler,Loamy,Spring,1363,38.9,42,13.3
70,Barley,43,Drip,Sandy,Winter,1038,32.8,48,10.0
71,Wheat,8,Sprinkler,Clay,Monsoon,4598,23.3,63,8.9
72,Soybean,10,Surface,Clay,Spring,4959,19.4,97,9.5
73,Soybean,49,Drip,Loamy,Spring,3544,19.6,81,7.3
74,Rice,36,Surface,Clay,Winter,4587,31.7,56,13.9
75,Soybean,34,Drip,Loamy,Spring,2372,32.4,58,9.5
76,Rice,39,Sprinkler,Sandy,Spring,4029,16.0,57,13.8
77,Wheat,44,Surface,Loamy,Winter,1920,36.0,64,6.1
78,Barley,20,Drip,Loamy,Monsoon,4468,31.4,37,14.9
79,Barley,17,Sprinkler,Loamy,Spring,3769,26.9,45,9.4
80,Barley,46,Surface,Loamy,Spring,4232,24.1,65,5.5
81,Soybean,34,Surface,Sandy,Spring,1015,26.3,59,5.4
82,Wheat,23,Drip,Sandy,Summer,1492,14.8,47,12.5
83,Soybean,21,Drip,Clay,Winter,2449,16.1,31,11.6
84,Soybean,23,Drip,Sandy,Summer,2131,12.7,78,13.0
85,Wheat,32,Sprinkler,Sandy,Winter,3941,14.6,33,6.1
86,Wheat,30,Drip,Clay,Monsoon,4521,23.6,36,5.4
87,Wheat,41,Surface,Sandy,Monsoon,1310,25.9,68,10.1
88,Wheat,30,Surface,Loamy,Spring,1738,10.5,42,8.9
89,Barley,27,Drip,Loamy,Winter,4241,33.9,60,9.6
90,Corn,13,Drip,Clay,Monsoon,1545,18.8,92,14.9
91,Corn,16,Surface,Clay,Winter,3461,37.4,85,14.7
92,Wheat,5,Sprinkler,Clay,Monsoon,1250,39.0,71,14.4
93,Corn,5,Drip,Loamy,Summer,1758,15.6,90,12.8
94,Corn,38,Drip,Sandy,Monsoon,2804,23.9,71,8.5
95,Wheat,36,Surface,Loamy,Summer,4212,10.0,85,9.1
96,Corn,29,Drip,Clay,Monsoon,2297,27.9,65,10.5
97,Soybean,44,Sprinkler,Sandy,Spring,4487,28.2,97,13.3
98,Rice,49,Surface,Sandy,Summer,2631,17.4,36,5.7
99,Rice,5,Drip,Loamy,Monsoon,4810,26.8,83,9.2
100,Wheat,20,Surface,Clay,Spring,2914,16.8,30,5.8
101,Barley,43,Drip,Loamy,Summer,4110,14.8,73,10.1
102,Wheat,9,Drip,Sandy,Spring,1813,29.5,74,14.0
103,Barley,26,Drip,Loamy,Winter,1028,19.8,76,12.8
104,Rice,33,Sprinkler,Loamy,Winter,1957,27.7,42,7.3
105,Wheat,7,Sprinkler,Clay,Summer,3032,23.0,51,14.8
106,Soybean,16,Surface,Clay,Monsoon,1476,39.5,50,11.7
107,Corn,30,Drip,Sandy,Summer,1317,14.5,38,5.1
108,Barley,20,Drip,Loamy,Spring,1244,23.9,55,7.6
109,Corn,41,Sprinkler,Loamy,Monsoon,1747,30.4,38,7.6
110,Corn,26,Drip,Loamy,Winter,1696,21.9,44,5.7
111,Wheat,33,Sprinkler,Sandy,Monsoon,1271,39.2,39,14.6
112,Corn,18,Drip,Sandy,Winter,4511,31.7,71,9.8
113,Soybean,32,Surface,Clay,Monsoon,2771,29.7,53,14.0
114,Corn,9,Drip,Clay,Monsoon,2262,32.7,78,8.2
115,Wheat,34,Drip,Clay,Monsoon,3424,38.6,55,6.3
116,Soybean,9,Sprinkler,Loamy,Spring,1265,37.2,66,9.7
117,Rice,16,Drip,Loamy,Spring,3973,31.7,97,6.1
118,Corn,20,Drip,Clay,Summer,1920,32.5,79,9.9
119,Wheat,30,Sprinkler,Loamy,Summer,4430,14.4,53,14.2
120,Rice,30,Surface,Clay,Winter,1339,13.1,48,10.2
121,Rice,25,Surface,Sandy,Spring,1388,27.1,89,11.2
122,Barley,43,Sprinkler,Clay,Winter,3624,10.6,68,6.6
123,Soybean,40,Sprinkler,Sandy,Summer,4760,24.5,47,5.4
124,Corn,37,Sprinkler,Loamy,Winter,3050,16.3,48,6.1
125,Wheat,34,Sprinkler,Clay,Summer,4500,20.4,65,11.0
126,Barley,41,Sprinkler,Loamy,Spring,2165,33.3,84,6.0
127,Soybean,27,Surface,Sandy,Monsoon,1375,38.2,98,8.8
128,Barley,14,Surface,Sandy,Spring,4741,12.2,76,10.5
129,Soybean,9,Sprinkler,Sandy,Winter,3033,26.0,78,8.9
130,Soybean,40,Drip,Loamy,Winter,3371,36.5,62,6.6
131,Corn,38,Sprinkler,Loamy,Spring,1145,12.5,50,7.7
132,Soybean,35,Drip,Loamy,Spring,2981,34.7,51,14.3
133,Barley,14,Sprinkler,Loamy,Summer,1292,20.7,77,11.8
134,Soybean,23,Sprinkler,Sandy,Winter,4736,19.7,66,10.0
135,Corn,36,Surface,Sandy,Winter,1431,39.3,44,5.1
136,Corn,5,Drip,Clay,Spring,1704,16.0,64,14.9
137,Barley,9,Drip,Clay,Monsoon,3996,30.8,61,11.7
138,Rice,49,Surface,Loamy,Winter,2998,34.6,40,8.2
139,Rice,8,Surface,Sandy,Monsoon,3632,11.2,39,13.8
140,Soybean,20,Surface,Sandy,Spring,1398,30.1,86,7.6
141,Wheat,28,Surface,Sandy,Spring,3864,38.5,54,10.4
142,Soybean,20,Drip,Clay,Summer,4960,13.7,31,11.4
143,Barley,6,Drip,Clay,Winter,4415,36.9,93,7.2
144,Barley,32,Sprinkler,Sandy,Monsoon,1963,27.8,64,14.8
145,Barley,36,Sprinkler,Sandy,Summer,4211,28.5,36,12.5
146,Barley,31,Surface,Sandy,Winter,3234,28.4,47,10.6
147,Barley,24,Surface,Clay,Summer,3041,19.0,96,6.8
148,Corn,28,Surface,Sandy,Spring,2828,38.1,71,5.5
149,Rice,16,Sprinkler,Sandy,Winter,3108,38.4,68,8.2
150,Barley,39,Sprinkler,Loamy,Summer,1938,28.8,70,12.5
151,Wheat,37,Sprinkler,Loamy,Summer,4451,33.5,53,7.7
152,Wheat,37,Sprinkler,Clay,Monsoon,1709,28.4,89,10.4
153,Wheat,47,Sprinkler,Sandy,Summer,1806,24.5,75,12.3
154,Wheat,41,Sprinkler,Sandy,Winter,2463,29.8,48,6.1
155,Corn,16,Sprinkler,Loamy,Winter,4390,26.6,97,11.9
156,Wheat,7,Surface,Clay,Monsoon,2325,27.9,71,5.9
157,Barley,5,Surface,Loamy,Winter,4415,33.5,61,14.7
158,Soybean,37,Surface,Loamy,Spring,1010,24.4,68,9.9
159,Wheat,44,Surface,Loamy,Winter,2085,11.2,65,6.5
160,Corn,14,Sprinkler,Loamy,Winter,2868,14.9,65,8.4
161,Corn,47,Drip,Sandy,Summer,3273,23.2,32,9.1
162,Wheat,48,Sprinkler,Sandy,Summer,4224,31.7,37,12.6
163,Soybean,33,Drip,Loamy,Winter,4782,27.8,99,12.4
164,Wheat,17,Surface,Clay,Monsoon,3611,29.5,70,11.1
165,Corn,16,Sprinkler,Clay,Summer,1771,24.4,97,6.1
166,Rice,35,Surface,Clay,Monsoon,2594,28.5,42,6.5
167,Barley,6,Sprinkler,Clay,Winter,2607,19.9,78,5.9
168,Corn,39,Surface,Loamy,Winter,4731,24.1,89,10.8
169,Wheat,27,Drip,Sandy,Spring,4932,32.3,31,13.8
170,Barley,21,Drip,Clay,Summer,4646,36.2,89,9.3
171,Wheat,30,Drip,Loamy,Winter,2333,23.0,34,6.6
172,Wheat,12,Sprinkler,Clay,Spring,1884,11.3,73,10.6
173,Rice,33,Drip,Clay,Summer,4314,14.9,56,13.1
174,Barley,30,Sprinkler,Loamy,Winter,4564,10.6,61,12.4
175,Barley,14,Drip,Sandy,Winter,2389,29.6,50,13.8
176,Rice,30,Drip,Sandy,Summer,4401,20.0,37,7.8
177,Corn,38,Sprinkler,Loamy,Summer,4178,26.3,79,6.9
178,Wheat,45,Sprinkler,Sandy,Summer,1225,24.8,96,13.8
179,Soybean,11,Drip,Loamy,Winter,1824,12.4,73,11.6
180,Wheat,8,Sprinkler,Loamy,Winter,3265,22.1,87,8.1
181,Wheat,49,Drip,Loamy,Spring,1936,16.6,32,12.4
182,Corn,15,Sprinkler,Sandy,Monsoon,3800,22.6,99,13.2
183,Wheat,33,Surface,Loamy,Summer,3553,16.1,31,11.1
184,Rice,40,Surface,Clay,Winter,3306,35.2,73,11.9
185,Rice,29,Surface,Sandy,Winter,2911,15.2,31,8.8
186,Barley,25,Surface,Sandy,Summer,4845,38.8,64,10.4
187,Soybean,40,Surface,Sandy,Monsoon,4588,22.5,59,10.2
188,Wheat,14,Drip,Sandy,Summer,2796,35.4,37,13.5
189,Wheat,41,Surface,Clay,Monsoon,1053,28.9,51,13.4
190,Corn,13,Surface,Sandy,Winter,4118,32.1,73,13.3
191,Rice,28,Surface,Sandy,Monsoon,1726,33.0,87,5.1
192,Soybean,39,Surface,Loamy,Spring,3736,25.1,65,12.5
193,Barley,39,Sprinkler,Sandy,Winter,2544,26.3,98,12.6
194,Rice,40,Drip,Clay,Spring,4170,25.4,60,11.8
195,Barley,22,Surface,Clay,Summer,2043,27.6,76,12.6
196,Corn,43,Surface,Clay,Summer,2913,10.9,84,13.4
197,Corn,36,Surface,Clay,Summer,2776,21.9,91,9.7
198,Wheat,28,Drip,Sandy,Monsoon,2596,28.2,59,10.0
199,Soybean,27,Sprinkler,Sandy,Winter,2914,27.9,84,6.2
200,Barley,36,Drip,Clay,Summer,4561,33.8,45,8.9
201,Rice,41,Sprinkler,Clay,Summer,3466,29.7,41,11.4
202,Corn,16,Surface,Sandy,Winter,3737,39.8,46,12.8
203,Wheat,17,Surface,Clay,Summer,1849,18.5,45,7.2
204,Wheat,27,Drip,Loamy,Spring,3109,20.8,41,6.4
205,Barley,29,Drip,Clay,Winter,4216,21.5,37,11.6
206,Corn,39,Sprinkler,Clay,Winter,3263,24.0,32,5.0
207,Soybean,45,Sprinkler,Loamy,Winter,1002,35.1,45,6.8
208,Corn,34,Drip,Loamy,Spring,1159,17.1,59,5.3
209,Barley,21,Sprinkler,Sandy,Winter,4810,33.3,52,6.7
210,Barley,24,Drip,Sandy,Spring,1780,22.2,34,6.8
211,Corn,29,Sprinkler,Loamy,Winter,4191,28.1,94,8.9
212,Barley,26,Drip,Loamy,Monsoon,1892,29.0,59,9.0
213,Corn,17,Drip,Sandy,Summer,3030,21.2,50,13.7
214,Rice,23,Drip,Clay,Monsoon,4160,25.4,99,10.1
215,Corn,40,Sprinkler,Loamy,Summer,3376,22.4,51,12.2
216,Corn,16,Sprinkler,Sandy,Spring,1579,12.1,61,6.0
217,Barley,45,Sprinkler,Clay,Monsoon,2933,23.1,62,7.3
218,Barley,23,Drip,Loamy,Winter,2380,12.9,45,12.0
219,Wheat,16,Sprinkler,Clay,Summer,4681,22.2,67,5.5
220,Wheat,13,Sprinkler,Sandy,Summer,2290,27.8,43,9.9
221,Rice,11,Drip,Loamy,Monsoon,2640,27.4,65,11.0
222,Wheat,32,Surface,Clay,Spring,1951,29.9,52,11.0
223,Corn,18,Drip,Loamy,Monsoon,4394,12.9,95,5.2
224,Barley,35,Sprinkler,Clay,Spring,3682,29.6,31,8.2
225,Wheat,23,Drip,Sandy,Spring,1987,19.4,94,11.4
226,Wheat,20,Surface,Sandy,Summer,4612,22.0,96,6.5
227,Rice,9,Drip,Loamy,Monsoon,4720,35.7,81,12.0
228,Rice,39,Sprinkler,Clay,Monsoon,2218,10.3,91,12.5
229,Corn,16,Surface,Loamy,Spring,1920,27.7,52,14.8
230,Barley,29,Sprinkler,Loamy,Monsoon,3785,28.0,55,7.1
231,Rice,25,Surface,Clay,Winter,2355,21.9,97,13.3
232,Wheat,40,Surface,Clay,Winter,1169,17.1,84,10.2
233,Barley,27,Drip,Clay,Monsoon,1520,17.0,35,8.7
234,Barley,20,Drip,Sandy,Monsoon,2486,36.5,64,6.2
235,Wheat,43,Sprinkler,Loamy,Spring,1039,23.3,51,12.4
236,Rice,49,Drip,Loamy,Winter,2560,19.9,72,7.4
237,Wheat,46,Drip,Sandy,Winter,4332,23.5,44,8.7
238,Barley,43,Surface,Clay,Summer,2418,30.1,89,5.6
239,Soybean,18,Drip,Sandy,Spring,1954,14.4,41,13.0
240,Soybean,35,Surface,Sandy,Summer,4297,23.5,78,12.7
241,Corn,9,Surface,Sandy,Winter,1983,27.6,71,12.3
242,Wheat,39,Surface,Loamy,Spring,4195,38.5,67,8.0
243,Wheat,27,Sprinkler,Sandy,Monsoon,1974,17.6,74,6.7
244,Corn,33,Sprinkler,Loamy,Spring,1037,20.8,64,11.4
245,Corn,47,Sprinkler,Loamy,Monsoon,3375,21.4,59,10.0
246,Corn,15,Surface,Loamy,Monsoon,2274,28.2,59,6.8
247,Barley,22,Sprinkler,Clay,Spring,4972,20.7,35,11.9
248,Wheat,16,Sprinkler,Loamy,Monsoon,2199,26.0,96,14.9
249,Barley,13,Drip,Loamy,Summer,2625,33.5,36,12.5
250,Corn,14,Sprinkler,Clay,Winter,1913,31.2,81,12.4
251,Wheat,48,Sprinkler,Loamy,Monsoon,1453,23.4,43,14.5
252,Barley,21,Surface,Sandy,Summer,1036,35.9,44,7.0
253,Barley,42,Surface,Sandy,Monsoon,4387,26.7,50,10.7
254,Corn,11,Surface,Loamy,Winter,2711,26.2,64,14.8
255,Wheat,17,Surface,Clay,Summer,4020,11.0,95,6.7
256,Corn,44,Surface,Sandy,Winter,1795,39.6,31,12.0
257,Wheat,46,Surface,Clay,Winter,1972,13.7,64,10.9
258,Soybean,13,Sprinkler,Clay,Summer,1592,16.9,49,10.9
259,Rice,31,Surface,Sandy,Summer,2137,11.6,39,12.0
260,Rice,6,Surface,Clay,Summer,4111,29.2,54,14.3
261,Rice,9,Drip,Sandy,Spring,2324,16.7,95,12.8
262,Corn,33,Sprinkler,Clay,Summer,3271,15.4,54,5.6
263,Soybean,41,Sprinkler,Sandy,Summer,1317,12.7,83,13.5
264,Wheat,42,Sprinkler,Loamy,Summer,3396,13.1,62,7.3
265,Barley,23,Surface,Sandy,Summer,3162,27.5,65,8.8
266,Wheat,12,Surface,Sandy,Monsoon,3745,30.6,43,9.6
267,Barley,49,Surface,Sandy,Spring,2346,21.9,94,9.8
268,Wheat,5,Drip,Sandy,Winter,2591,24.4,83,9.4
269,Soybean,26,Surface,Clay,Summer,4111,30.6,81,14.4
270,Barley,21,Drip,Loamy,Monsoon,2889,10.5,32,12.1
271,Corn,11,Sprinkler,Sandy,Monsoon,3087,19.7,70,11.3
272,Wheat,29,Surface,Clay,Monsoon,4930,39.2,35,5.5
273,Wheat,49,Drip,Loamy,Winter,2996,27.4,54,14.0
274,Barley,8,Drip,Loamy,Summer,2772,17.6,42,14.1
275,Corn,40,Surface,Loamy,Spring,2312,25.7,37,12.8
276,Corn,10,Sprinkler,Loamy,Spring,2285,20.3,50,5.1
277,Soybean,35,Sprinkler,Sandy,Monsoon,1215,26.0,97,5.6
278,Corn,23,Sprinkler,Sandy,Winter,4218,13.8,54,7.3
279,Corn,48,Drip,Clay,Winter,3383,14.0,97,6.3
280,Corn,43,Drip,Clay,Winter,4239,14.3,74,9.0
281,Rice,31,Drip,Clay,Spring,3139,38.2,89,14.2
282,Soybean,14,Drip,Loamy,Monsoon,3400,32.0,41,9.7
283,Wheat,30,Sprinkler,Loamy,Summer,3618,14.9,61,5.1
284,Barley,23,Surface,Sandy,Spring,4642,15.7,42,7.8
285,Wheat,43,Drip,Loamy,Monsoon,3863,31.9,60,5.4
286,Soybean,7,Drip,Loamy,Monsoon,2704,14.7,49,5.4
287,Barley,49,Sprinkler,Loamy,Summer,3828,17.0,47,7.8
288,Soybean,17,Surface,Clay,Summer,1362,38.9,89,7.8
289,Corn,32,Surface,Clay,Summer,3604,17.7,92,12.9
290,Barley,24,Sprinkler,Sandy,Winter,4416,29.8,35,14.7
291,Corn,32,Sprinkler,Loamy,Summer,2716,39.4,61,8.7
292,Wheat,12,Surface,Loamy,Monsoon,2193,21.2,72,9.3
293,Wheat,45,Drip,Sandy,Summer,1355,10.5,31,13.4
294,Barley,43,Surface,Loamy,Monsoon,1190,17.3,89,7.7
295,Barley,5,Sprinkler,Loamy,Spring,4738,34.9,52,6.6
296,Soybean,7,Drip,Clay,Winter,3469,35.9,60,13.5
297,Soybean,17,Drip,Sandy,Spring,1699,33.1,34,5.5
298,Corn,32,Sprinkler,Sandy,Spring,3054,13.4,63,11.2
299,Barley,29,Sprinkler,Sandy,Monsoon,3180,33.9,39,10.6
300,Wheat,37,Sprinkler,Sandy,Spring,4818,37.6,31,8.5
