Farm_ID,Crop_Type,Farm_Area(acres),Irrigation_Type,Soil_Type,Season,Water_Usage(cubic meters),Temperature(°C),Humidity(%),Yield(tons),Nutrient_Content,Rainfall(mm),Sunlight_Hours,Soil_pH,Soil_Moisture_Level
38,Soybean,28,Sprinkler,Clay,Winter,4911,35.6,75,8.2,59.77,762.93,7.42,8.24,53.12
39,Wheat,17,Drip,Loamy,Winter,2521,39.7,38,13.3,118.42,579.34,7.69,5.85,87.77
40,Rice,11,Drip,Clay,Spring,1826,30.3,32,11.3,94.02,278.27,8.77,7.23,32.99
41,Barley,40,Surface,Sandy,Summer,1726,23.4,55,7.0,62.2,593.29,5.2,6.32,80.8
42,Wheat,49,Sprinkler,Sandy,Monsoon,2500,29.4,77,5.6,99.52,578.78,8.22,7.16,74.36
43,Barley,24,Surface,Clay,Monsoon,3641,27.8,95,5.4,53.44,338.56,7.11,7.45,73.96
44,Rice,5,Drip,Sandy,Spring,4294,21.5,99,8.7,140.93,547.08,8.27,7.99,79.13
45,Rice,12,Drip,Loamy,Spring,1989,12.0,57,7.7,75.88,518.8,6.2,6.12,73.27
46,Wheat,20,Drip,Loamy,Winter,3419,34.6,55,11.5,116.25,692.68,13.91,5.53,63.84
47,Rice,18,Drip,Clay,Monsoon,1934,21.2,54,10.0,81.17,708.07,10.94,5.91,29.19
48,Soybean,16,Drip,Clay,Summer,4042,34.6,41,7.7,102.01,236.24,11.79,8.2,22.28
49,Rice,27,Drip,Clay,Spring,1401,17.6,34,6.5,104.67,499.69,12.89,8.12,84.46
50,Barley,19,Drip,Sandy,Summer,2466,10.0,77,6.3,68.49,700.69,9.98,7.29,63.17
51,Barley,32,Sprinkler,Loamy,Summer,4561,14.8,66,13.6,146.96,602.51,5.87,7.3,75.76
52,Barley,38,Surface,Loamy,Monsoon,1614,24.1,73,7.4,127.51,885.19,10.37,7.5,53.71
53,Barley,6,Drip,Sandy,Monsoon,2296,38.3,44,11.5,143.95,726.95,10.87,6.03,28.21
54,Soybean,36,Sprinkler,Loamy,Spring,4597,13.1,72,13.1,139.48,330.35,12.45,8.24,28.76
55,Corn,27,Sprinkler,Clay,Monsoon,2182,35.6,77,11.1,109.79,256.45,9.32,6.76,67.99
56,Wheat,26,Surface,Clay,Monsoon,4223,25.8,99,13.6,142.19,713.94,6.28,6.65,50.12
57,Barley,29,Drip,Clay,Monsoon,4042,34.8,75,8.9,58.85,221.21,7.84,7.06,34.04
58,Rice,26,Surface,Loamy,Summer,3667,19.0,72,14.6,69.6,668.62,8.63,5.64,54.41
59,Barley,26,Drip,Clay,Spring,3235,35.2,50,6.3,54.52,952.18,11.46,6.0,24.49
60,Rice,46,Sprinkler,Sandy,Winter,4884,33.2,52,6.0,82.53,660.38,10.71,7.71,60.74
61,Rice,10,Sprinkler,Sandy,Summer,2121,16.9,76,11.6,88.87,510.54,8.56,5.75,38.83
62,Barley,19,Sprinkler,Loamy,Monsoon,1130,13.9,44,14.4,77.13,714.63,14.87,7.31,75.83
63,Soybean,47,Sprinkler,Sandy,Summer,3852,36.0,54,13.1,132.87,566.6,11.06,6.24,41.73
64,Rice,41,Surface,Sandy,Monsoon,2194,38.9,65,5.8,85.68,636.49,7.37,6.67,51.87
65,Rice,37,Drip,Loamy,Monsoon,3983,10.9,80,7.8,78.09,953.17,6.02,6.37,20.81
66,Barley,12,Drip,Clay,Summer,4033,31.9,44,14.3,104.27,508.88,6.53,6.57,25.07
67,Rice,48,Surface,Clay,Spring,1182,37.3,97,7.5,64.09,968.95,7.46,7.66,47.47
68,Rice,48,Drip,Clay,Monsoon,4030,35.7,50,12.8,130.22,924.28,6.61,6.39,53.6
69,Barley,9,Sprinkler,Loamy,Spring,1363,38.9,42,13.3,57.46,356.63,6.87,7.2,62.0
70,Barley,43,Drip,Sandy,Winter,1038,32.8,48,10.0,148.69,255.49,7.85,6.93,40.42
71,Wheat,8,Sprinkler,Clay,Monsoon,4598,23.3,63,8.9,127.22,280.62,6.73,7.49,68.65
72,Soybean,10,Surface,Clay,Spring,4959,19.4,97,9.5,69.87,214.58,13.97,8.31,80.21
73,Soybean,49,Drip,Loamy,Spring,3544,19.6,81,7.3,50.55,275.55,5.8,7.7,74.59
74,Rice,36,Surface,Clay,Winter,4587,31.7,56,13.9,131.55,746.41,10.25,6.14,22.77
75,Soybean,34,Drip,Loamy,Spring,2372,32.4,58,9.5,120.69,256.95,9.1,5.59,53.64
76,Rice,39,Sprinkler,Sandy,Spring,4029,16.0,57,13.8,122.9,455.18,14.82,6.29,27.35
77,Wheat,44,Surface,Loamy,Winter,1920,36.0,64,6.1,127.13,875.9,6.12,7.29,36.94
78,Barley,20,Drip,Loamy,Monsoon,4468,31.4,37,14.9,57.4,218.62,8.98,5.65,89.07
79,Barley,17,Sprinkler,Loamy,Spring,3769,26.9,45,9.4,85.85,851.57,14.69,6.99,29.97
80,Barley,46,Surface,Loamy,Spring,4232,24.1,65,5.5,61.59,425.48,13.66,7.29,54.92
81,Soybean,34,Surface,Sandy,Spring,1015,26.3,59,5.4,136.31,294.53,13.17,6.5,63.27
82,Wheat,23,Drip,Sandy,Summer,1492,14.8,47,12.5,112.33,757.39,7.58,7.81,69.17
83,Soybean,21,Drip,Clay,Winter,2449,16.1,31,11.6,83.09,703.15,6.71,5.82,59.18
84,Soybean,23,Drip,Sandy,Summer,2131,12.7,78,13.0,56.36,901.98,11.69,5.73,20.68
85,Wheat,32,Sprinkler,Sandy,Winter,3941,14.6,33,6.1,81.1,788.06,14.29,7.68,42.85
86,Wheat,30,Drip,Clay,Monsoon,4521,23.6,36,5.4,82.52,842.78,10.57,6.99,56.24
87,Wheat,41,Surface,Sandy,Monsoon,1310,25.9,68,10.1,122.96,425.63,10.72,7.57,26.15
88,Wheat,30,Surface,Loamy,Spring,1738,10.5,42,8.9,113.76,341.95,7.8,6.8,44.54
89,Barley,27,Drip,Loamy,Winter,4241,33.9,60,9.6,138.72,800.49,12.69,6.24,22.32
90,Corn,13,Drip,Clay,Monsoon,1545,18.8,92,14.9,97.22,845.47,6.87,7.96,25.5
91,Corn,16,Surface,Clay,Winter,3461,37.4,85,14.7,61.96,992.4,8.24,7.9,47.78
92,Wheat,5,Sprinkler,Clay,Monsoon,1250,39.0,71,14.4,121.32,530.09,9.25,7.58,29.29
93,Corn,5,Drip,Loamy,Summer,1758,15.6,90,12.8,126.08,497.61,10.08,6.32,59.73
94,Corn,38,Drip,Sandy,Monsoon,2804,23.9,71,8.5,106.13,821.13,7.42,7.27,68.26
95,Wheat,36,Surface,Loamy,Summer,4212,10.0,85,9.1,127.1,472.64,6.15,6.58,76.04
96,Corn,29,Drip,Clay,Monsoon,2297,27.9,65,10.5,99.38,944.61,11.11,5.77,34.01
97,Soybean,44,Sprinkler,Sandy,Spring,4487,28.2,97,13.3,102.27,886.73,7.89,8.25,31.72
98,Rice,49,Surface,Sandy,Summer,2631,17.4,36,5.7,92.75,543.2,10.81,5.91,27.32
99,Rice,5,Drip,Loamy,Monsoon,4810,26.8,83,9.2,52.54,800.7,6.54,8.35,64.55
100,Wheat,20,Surface,Clay,Spring,2914,16.8,30,5.8,60.79,803.63,9.81,6.84,69.45
101,Barley,43,Drip,Loamy,Summer,4110,14.8,73,10.1,53.14,282.5,10.33,6.06,22.21
102,Wheat,9,Drip,Sandy,Spring,1813,29.5,74,14.0,113.64,922.04,5.52,7.13,85.53
103,Barley,26,Drip,Loamy,Winter,1028,19.8,76,12.8,81.44,604.2,8.37,8.12,23.64
104,Rice,33,Sprinkler,Loamy,Winter,1957,27.7,42,7.3,100.86,861.17,6.34,7.7,57.89
105,Wheat,7,Sprinkler,Clay,Summer,3032,23.0,51,14.8,140.76,456.04,5.63,7.92,69.63
106,Soybean,16,Surface,Clay,Monsoon,1476,39.5,50,11.7,74.93,916.42,14.9,7.48,80.97
107,Corn,30,Drip,Sandy,Summer,1317,14.5,38,5.1,91.04,511.36,8.22,7.58,69.99
108,Barley,20,Drip,Loamy,Spring,1244,23.9,55,7.6,125.56,208.67,13.1,8.05,76.12
109,Corn,41,Sprinkler,Loamy,Monsoon,1747,30.4,38,7.6,72.88,924.31,7.55,6.25,43.76
110,Corn,26,Drip,Loamy,Winter,1696,21.9,44,5.7,57.7,273.03,11.82,6.97,77.04
111,Wheat,33,Sprinkler,Sandy,Monsoon,1271,39.2,39,14.6,78.98,455.45,12.6,6.16,25.61
112,Corn,18,Drip,Sandy,Winter,4511,31.7,71,9.8,66.12,960.05,10.96,8.46,82.64
113,Soybean,32,Surface,Clay,Monsoon,2771,29.7,53,14.0,142.97,960.49,9.72,8.33,58.33
114,Corn,9,Drip,Clay,Monsoon,2262,32.7,78,8.2,130.81,658.75,9.12,5.62,77.21
115,Wheat,34,Drip,Clay,Monsoon,3424,38.6,55,6.3,113.34,705.47,8.49,7.62,51.66
116,Soybean,9,Sprinkler,Loamy,Spring,1265,37.2,66,9.7,137.15,558.76,14.3,8.28,65.05
117,Rice,16,Drip,Loamy,Spring,3973,31.7,97,6.1,130.37,434.57,13.31,6.04,56.85
118,Corn,20,Drip,Clay,Summer,1920,32.5,79,9.9,68.66,462.93,14.65,7.2,71.21
119,Wheat,30,Sprinkler,Loamy,Summer,4430,14.4,53,14.2,139.26,738.01,6.24,8.25,25.71
120,Rice,30,Surface,Clay,Winter,1339,13.1,48,10.2,103.93,801.9,12.31,5.6,24.22
121,Rice,25,Surface,Sandy,Spring,1388,27.1,89,11.2,130.74,833.26,14.38,7.59,37.3
122,Barley,43,Sprinkler,Clay,Winter,3624,10.6,68,6.6,139.61,831.69,6.81,6.39,31.17
123,Soybean,40,Sprinkler,Sandy,Summer,4760,24.5,47,5.4,81.8,272.96,5.66,8.27,81.02
124,Corn,37,Sprinkler,Loamy,Winter,3050,16.3,48,6.1,61.01,595.54,12.41,8.41,35.34
125,Wheat,34,Sprinkler,Clay,Summer,4500,20.4,65,11.0,72.79,246.05,10.74,8.33,88.31
126,Barley,41,Sprinkler,Loamy,Spring,2165,33.3,84,6.0,92.71,639.62,13.42,6.92,43.58
127,Soybean,27,Surface,Sandy,Monsoon,1375,38.2,98,8.8,131.8,553.22,6.4,8.09,32.75
128,Barley,14,Surface,Sandy,Spring,4741,12.2,76,10.5,136.07,910.16,12.95,8.03,75.28
129,Soybean,9,Sprinkler,Sandy,Winter,3033,26.0,78,8.9,50.7,480.73,7.02,6.46,66.11
130,Soybean,40,Drip,Loamy,Winter,3371,36.5,62,6.6,101.07,293.65,6.64,7.99,54.87
131,Corn,38,Sprinkler,Loamy,Spring,1145,12.5,50,7.7,91.74,314.39,6.64,5.61,58.88
132,Soybean,35,Drip,Loamy,Spring,2981,34.7,51,14.3,72.21,809.21,13.15,7.29,70.34
133,Barley,14,Sprinkler,Loamy,Summer,1292,20.7,77,11.8,61.99,694.57,11.65,6.19,35.99
134,Soybean,23,Sprinkler,Sandy,Winter,4736,19.7,66,10.0,83.76,280.9,10.23,5.86,89.74
135,Corn,36,Surface,Sandy,Winter,1431,39.3,44,5.1,144.29,267.29,8.59,5.73,88.24
136,Corn,5,Drip,Clay,Spring,1704,16.0,64,14.9,82.32,760.78,13.77,7.59,65.52
137,Barley,9,Drip,Clay,Monsoon,3996,30.8,61,11.7,101.88,258.21,8.92,6.52,33.97
138,Rice,49,Surface,Loamy,Winter,2998,34.6,40,8.2,120.3,857.49,13.17,7.67,67.62
139,Rice,8,Surface,Sandy,Monsoon,3632,11.2,39,13.8,86.36,764.99,9.39,5.7,25.05
140,Soybean,20,Surface,Sandy,Spring,1398,30.1,86,7.6,147.18,265.08,8.77,6.45,22.15
141,Wheat,28,Surface,Sandy,Spring,3864,38.5,54,10.4,146.24,267.87,9.63,7.12,38.04
142,Soybean,20,Drip,Clay,Summer,4960,13.7,31,11.4,75.18,989.31,8.01,7.87,52.38
143,Barley,6,Drip,Clay,Winter,4415,36.9,93,7.2,99.72,499.42,12.48,6.46,80.78
144,Barley,32,Sprinkler,Sandy,Monsoon,1963,27.8,64,14.8,80.09,496.51,10.03,7.38,70.9
145,Barley,36,Sprinkler,Sandy,Summer,4211,28.5,36,12.5,78.48,850.24,7.32,8.16,71.99
146,Barley,31,Surface,Sandy,Winter,3234,28.4,47,10.6,53.69,957.8,14.0,7.35,49.78
147,Barley,24,Surface,Clay,Summer,3041,19.0,96,6.8,110.96,988.8,8.84,6.2,44.22
148,Corn,28,Surface,Sandy,Spring,2828,38.1,71,5.5,100.27,802.7,10.44,5.57,45.97
149,Rice,16,Sprinkler,Sandy,Winter,3108,38.4,68,8.2,55.15,501.01,14.06,8.11,89.14
150,Barley,39,Sprinkler,Loamy,Summer,1938,28.8,70,12.5,77.86,266.8,11.24,5.56,22.81
151,Wheat,37,Sprinkler,Loamy,Summer,4451,33.5,53,7.7,140.83,821.72,6.17,8.12,80.69
152,Wheat,37,Sprinkler,Clay,Monsoon,1709,28.4,89,10.4,73.96,646.72,14.4,7.09,60.51
153,Wheat,47,Sprinkler,Sandy,Summer,1806,24.5,75,12.3,64.49,539.38,11.28,8.32,50.7
154,Wheat,41,Sprinkler,Sandy,Winter,2463,29.8,48,6.1,98.95,925.08,8.35,7.9,70.77
155,Corn,16,Sprinkler,Loamy,Winter,4390,26.6,97,11.9,148.57,288.96,6.39,8.49,54.07
156,Wheat,7,Surface,Clay,Monsoon,2325,27.9,71,5.9,74.21,594.1,12.94,6.55,81.14
157,Barley,5,Surface,Loamy,Winter,4415,33.5,61,14.7,117.21,209.08,11.2,7.8,83.05
158,Soybean,37,Surface,Loamy,Spring,1010,24.4,68,9.9,126.16,574.93,10.33,6.71,49.52
159,Wheat,44,Surface,Loamy,Winter,2085,11.2,65,6.5,73.76,245.04,13.94,6.94,39.38
160,Corn,14,Sprinkler,Loamy,Winter,2868,14.9,65,8.4,122.82,295.05,12.89,7.38,61.46
161,Corn,47,Drip,Sandy,Summer,3273,23.2,32,9.1,86.78,294.02,6.52,8.12,83.87
162,Wheat,48,Sprinkler,Sandy,Summer,4224,31.7,37,12.6,113.23,719.37,8.12,8.45,34.75
163,Soybean,33,Drip,Loamy,Winter,4782,27.8,99,12.4,113.35,796.84,7.48,7.8,63.61
164,Wheat,17,Surface,Clay,Monsoon,3611,29.5,70,11.1,103.58,666.7,12.44,6.75,64.21
165,Corn,16,Sprinkler,Clay,Summer,1771,24.4,97,6.1,59.03,969.74,5.34,6.76,71.32
166,Rice,35,Surface,Clay,Monsoon,2594,28.5,42,6.5,133.53,499.9,10.7,7.71,29.21
167,Barley,6,Sprinkler,Clay,Winter,2607,19.9,78,5.9,82.08,428.57,12.62,6.22,70.11
168,Corn,39,Surface,Loamy,Winter,4731,24.1,89,10.8,68.65,894.88,13.77,5.83,83.63
169,Wheat,27,Drip,Sandy,Spring,4932,32.3,31,13.8,54.08,378.88,8.42,6.56,32.58
170,Barley,21,Drip,Clay,Summer,4646,36.2,89,9.3,109.09,970.58,13.21,6.36,36.63
171,Wheat,30,Drip,Loamy,Winter,2333,23.0,34,6.6,117.76,209.72,6.11,6.39,88.0
172,Wheat,12,Sprinkler,Clay,Spring,1884,11.3,73,10.6,51.66,975.9,13.46,6.2,32.67
173,Rice,33,Drip,Clay,Summer,4314,14.9,56,13.1,101.21,234.53,6.27,5.63,79.81
174,Barley,30,Sprinkler,Loamy,Winter,4564,10.6,61,12.4,72.65,912.91,8.97,5.55,54.46
175,Barley,14,Drip,Sandy,Winter,2389,29.6,50,13.8,114.52,622.16,12.97,8.46,37.31
176,Rice,30,Drip,Sandy,Summer,4401,20.0,37,7.8,67.44,994.37,6.5,6.78,80.95
177,Corn,38,Sprinkler,Loamy,Summer,4178,26.3,79,6.9,119.09,259.04,7.29,6.65,51.17
178,Wheat,45,Sprinkler,Sandy,Summer,1225,24.8,96,13.8,88.67,643.08,12.22,7.54,56.04
179,Soybean,11,Drip,Loamy,Winter,1824,12.4,73,11.6,143.67,975.44,12.2,6.15,45.15
180,Wheat,8,Sprinkler,Loamy,Winter,3265,22.1,87,8.1,63.75,618.48,11.41,8.35,61.51
181,Wheat,49,Drip,Loamy,Spring,1936,16.6,32,12.4,84.11,703.52,11.94,7.86,31.45
182,Corn,15,Sprinkler,Sandy,Monsoon,3800,22.6,99,13.2,61.35,756.6,10.43,5.77,47.38
183,Wheat,33,Surface,Loamy,Summer,3553,16.1,31,11.1,142.47,563.63,7.52,6.75,87.86
184,Rice,40,Surface,Clay,Winter,3306,35.2,73,11.9,137.73,702.05,8.46,8.14,38.07
185,Rice,29,Surface,Sandy,Winter,2911,15.2,31,8.8,75.79,667.45,6.82,8.33,65.97
186,Barley,25,Surface,Sandy,Summer,4845,38.8,64,10.4,116.0,920.93,14.08,6.9,42.76
187,Soybean,40,Surface,Sandy,Monsoon,4588,22.5,59,10.2,131.72,236.36,10.83,7.34,74.14
188,Wheat,14,Drip,Sandy,Summer,2796,35.4,37,13.5,105.52,424.77,9.01,6.0,29.16
189,Wheat,41,Surface,Clay,Monsoon,1053,28.9,51,13.4,102.97,960.33,9.62,8.47,87.89
190,Corn,13,Surface,Sandy,Winter,4118,32.1,73,13.3,74.19,912.21,14.47,6.2,51.77
191,Rice,28,Surface,Sandy,Monsoon,1726,33.0,87,5.1,59.31,564.53,6.53,8.33,36.52
192,Soybean,39,Surface,Loamy,Spring,3736,25.1,65,12.5,139.72,696.11,10.86,7.45,25.14
193,Barley,39,Sprinkler,Sandy,Winter,2544,26.3,98,12.6,140.04,421.9,10.06,7.32,31.88
194,Rice,40,Drip,Clay,Spring,4170,25.4,60,11.8,113.31,350.5,11.11,7.04,56.38
195,Barley,22,Surface,Clay,Summer,2043,27.6,76,12.6,83.9,570.96,5.18,6.19,43.59
196,Corn,43,Surface,Clay,Summer,2913,10.9,84,13.4,84.92,482.68,13.72,6.03,78.02
197,Corn,36,Surface,Clay,Summer,2776,21.9,91,9.7,122.6,666.92,14.32,6.16,50.16
198,Wheat,28,Drip,Sandy,Monsoon,2596,28.2,59,10.0,139.71,262.19,10.65,6.06,37.41
199,Soybean,27,Sprinkler,Sandy,Winter,2914,27.9,84,6.2,138.71,979.52,11.97,7.84,63.2
200,Barley,36,Drip,Clay,Summer,4561,33.8,45,8.9,127.99,988.97,14.22,6.55,69.47
201,Rice,41,Sprinkler,Clay,Summer,3466,29.7,41,11.4,114.2,758.53,12.07,5.67,31.69
202,Corn,16,Surface,Sandy,Winter,3737,39.8,46,12.8,58.41,628.88,6.53,8.41,31.73
203,Wheat,17,Surface,Clay,Summer,1849,18.5,45,7.2,66.16,447.62,10.76,8.15,22.57
204,Wheat,27,Drip,Loamy,Spring,3109,20.8,41,6.4,139.86,851.04,11.07,8.28,71.55
205,Barley,29,Drip,Clay,Winter,4216,21.5,37,11.6,110.64,747.78,9.24,8.48,66.47
206,Corn,39,Sprinkler,Clay,Winter,3263,24.0,32,5.0,50.92,330.09,12.36,6.02,53.22
207,Soybean,45,Sprinkler,Loamy,Winter,1002,35.1,45,6.8,60.15,928.74,14.34,6.69,79.09
208,Corn,34,Drip,Loamy,Spring,1159,17.1,59,5.3,116.35,858.03,14.26,7.77,76.4
209,Barley,21,Sprinkler,Sandy,Winter,4810,33.3,52,6.7,50.51,959.84,9.51,7.59,60.97
210,Barley,24,Drip,Sandy,Spring,1780,22.2,34,6.8,66.08,780.58,6.13,5.96,80.78
211,Corn,29,Sprinkler,Loamy,Winter,4191,28.1,94,8.9,104.87,690.73,14.85,7.95,34.41
212,Barley,26,Drip,Loamy,Monsoon,1892,29.0,59,9.0,119.19,534.59,13.39,6.17,27.83
213,Corn,17,Drip,Sandy,Summer,3030,21.2,50,13.7,115.2,946.18,6.25,6.17,38.88
214,Rice,23,Drip,Clay,Monsoon,4160,25.4,99,10.1,72.43,892.85,14.21,7.11,24.0
215,Corn,40,Sprinkler,Loamy,Summer,3376,22.4,51,12.2,121.22,236.17,13.7,7.28,57.18
216,Corn,16,Sprinkler,Sandy,Spring,1579,12.1,61,6.0,73.72,221.09,10.19,7.24,85.56
217,Barley,45,Sprinkler,Clay,Monsoon,2933,23.1,62,7.3,82.54,501.17,10.91,5.77,22.75
218,Barley,23,Drip,Loamy,Winter,2380,12.9,45,12.0,124.65,848.44,8.99,8.13,28.55
219,Wheat,16,Sprinkler,Clay,Summer,4681,22.2,67,5.5,114.96,989.82,5.55,6.3,51.65
220,Wheat,13,Sprinkler,Sandy,Summer,2290,27.8,43,9.9,134.92,320.33,8.35,5.89,85.37
221,Rice,11,Drip,Loamy,Monsoon,2640,27.4,65,11.0,115.76,675.3,13.03,8.17,42.13
222,Wheat,32,Surface,Clay,Spring,1951,29.9,52,11.0,106.83,504.71,5.05,8.37,55.51
223,Corn,18,Drip,Loamy,Monsoon,4394,12.9,95,5.2,59.37,975.93,8.33,8.09,22.91
224,Barley,35,Sprinkler,Clay,Spring,3682,29.6,31,8.2,86.77,873.7,8.98,7.93,30.38
225,Wheat,23,Drip,Sandy,Spring,1987,19.4,94,11.4,76.52,870.66,10.37,7.47,89.06
226,Wheat,20,Surface,Sandy,Summer,4612,22.0,96,6.5,74.4,574.95,14.2,7.15,87.56
227,Rice,9,Drip,Loamy,Monsoon,4720,35.7,81,12.0,147.3,531.86,8.46,5.76,20.35
228,Rice,39,Sprinkler,Clay,Monsoon,2218,10.3,91,12.5,89.31,418.73,8.47,6.73,86.63
229,Corn,16,Surface,Loamy,Spring,1920,27.7,52,14.8,139.2,245.1,12.38,6.62,64.74
230,Barley,29,Sprinkler,Loamy,Monsoon,3785,28.0,55,7.1,113.11,891.78,9.52,6.28,80.75
231,Rice,25,Surface,Clay,Winter,2355,21.9,97,13.3,129.48,850.32,7.25,7.67,51.83
232,Wheat,40,Surface,Clay,Winter,1169,17.1,84,10.2,100.26,999.77,9.52,6.99,56.09
233,Barley,27,Drip,Clay,Monsoon,1520,17.0,35,8.7,107.69,997.31,6.41,5.74,54.22
234,Barley,20,Drip,Sandy,Monsoon,2486,36.5,64,6.2,99.25,644.35,6.76,6.16,66.68
235,Wheat,43,Sprinkler,Loamy,Spring,1039,23.3,51,12.4,69.52,815.19,9.98,7.55,29.78
236,Rice,49,Drip,Loamy,Winter,2560,19.9,72,7.4,122.25,955.81,9.19,5.73,22.1
237,Wheat,46,Drip,Sandy,Winter,4332,23.5,44,8.7,78.08,879.72,14.15,8.05,41.56
238,Barley,43,Surface,Clay,Summer,2418,30.1,89,5.6,52.43,397.88,8.62,6.99,69.33
239,Soybean,18,Drip,Sandy,Spring,1954,14.4,41,13.0,114.55,560.44,10.81,6.94,34.13
240,Soybean,35,Surface,Sandy,Summer,4297,23.5,78,12.7,67.71,303.33,11.32,7.28,67.14
241,Corn,9,Surface,Sandy,Winter,1983,27.6,71,12.3,144.05,963.24,5.13,7.97,87.89
242,Wheat,39,Surface,Loamy,Spring,4195,38.5,67,8.0,145.39,684.94,11.64,6.54,26.57
243,Wheat,27,Sprinkler,Sandy,Monsoon,1974,17.6,74,6.7,141.49,382.91,6.78,7.53,67.08
244,Corn,33,Sprinkler,Loamy,Spring,1037,20.8,64,11.4,87.02,737.36,14.61,7.2,51.06
245,Corn,47,Sprinkler,Loamy,Monsoon,3375,21.4,59,10.0,51.55,694.5,6.49,6.3,80.77
246,Corn,15,Surface,Loamy,Monsoon,2274,28.2,59,6.8,142.83,486.53,9.15,8.14,32.4
247,Barley,22,Sprinkler,Clay,Spring,4972,20.7,35,11.9,92.82,290.85,5.85,7.89,68.48
